Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
03/22/24,Vermont,MBB,Can't,Halftime,,,34-29,N,
03/22/24,Vermont,MBB,Can't,Pregame,,,0-0,N,
03/22/24,Vermont,MBB,Overpass,Pregame,,,0-0,Y,
03/22/24,Vermont,MBB,Everytime,2H,<8:00,5:03,53-44,Y,
03/22/24,Vermont,MBB,Devil,Postgame,,,64-47,N,
03/22/24,Vermont,MBB,Love from the Other Side,2H,<12:00,12:00,42-37,N,
03/24/24,JMU,MBB,Runaway Baby,Halftime,,,47-25,N,
03/24/24,JMU,MBB,That's What I Want,Halftime,,,47-25,N,
03/24/24,JMU,MBB,Devil,2H,<12:00,10:59,68-41,N,
03/24/24,JMU,MBB,Uma Thurman,2H,<12:00,10:59,68-41,Y,
03/24/24,JMU,MBB,Everytime,2H,<4:00,3:32,90-53,N,
03/24/24,JMU,MBB,Pumpkin,2H,<4:00,3:32,90-53,N,
03/24/24,JMU,MBB,Devil,Postgame,,,93-55,N,
03/24/24,JMU,MBB,Dance the Night,1H,<8:00,6:39,31-17,Y,
03/24/24,JMU,MBB,Zing It!,1H,<8:00,6:39,31-17,N,
03/24/24,JMU,MBB,Can't,Halftime,,,47-25,N,
03/24/24,JMU,MBB,Can't,Pregame,,,0-0,N,
03/24/24,JMU,MBB,Overpass,Pregame,,,0-0,N,
03/24/24,JMU,MBB,Vehicle,Pregame,,,0-0,N,
03/24/24,JMU,MBB,The Star-Spangled Banner,Pregame,,,0-0,N,
03/24/24,JMU,MBB,good 4 business,Pregame,,,0-0,N,
03/24/24,JMU,MBB,Can't,Pregame,,,0-0,N,
03/24/24,JMU,MBB,Fight Fight,1H,<16:00,15:10,12-4,N,
03/24/24,JMU,MBB,Blue & White,Halftime,,,47-25,N,
03/24/24,JMU,MBB,Blue & White,1H,<16:00,15:10,12-4,Y,
03/29/24,Houston,MBB,Dear Old Duke,Postgame,,,54-51,N,
03/29/24,Houston,MBB,Devil,Postgame,,,54-51,N,
03/29/24,Houston,MBB,Sail,2H,,1:13,54-48,N,
03/29/24,Houston,MBB,Love from the Other Side,2H,<8:00,7:26,45-42,Y,
03/29/24,Houston,MBB,Everytime,2H,<8:00,7:26,45-42,N,
03/29/24,Houston,MBB,Zing It!,1H,<4:00,4:00,17-18,N,
03/29/24,Houston,MBB,Can't,Halftime,,,23-22,N,
03/29/24,Houston,MBB,Blue & White,Halftime,,,23-22,N,
03/29/24,Houston,MBB,Overpass,1H,<12:00,11:28,7-10,Y,
03/29/24,Houston,MBB,Blue & White,1H,<12:00,11:28,7-10,N,
03/29/24,Houston,MBB,Fight Fight,1H,<12:00,11:28,7-10,N,
03/29/24,Houston,MBB,Can't,Pregame,,,0-0,N,
03/29/24,Houston,MBB,Devil,2H,<16:00,15:08,32-32,N,
03/31/24,NC State,MBB,Blue & White,Postgame,,,64-76,N,
03/31/24,NC State,MBB,Sail,2H,<4:00,1:39,54-65,N,
03/31/24,NC State,MBB,Everytime,2H,,8:19,40-48,N,
03/31/24,NC State,MBB,That's What I Want,2H,<12:00,11:39,38-40,N,
03/31/24,NC State,MBB,Overpass,Halftime,,,27-21,Y,
03/31/24,NC State,MBB,Can't,Halftime,,,27-21,N,
03/31/24,NC State,MBB,Love from the Other Side,Halftime,,,27-21,Y,
03/31/24,NC State,MBB,Devil,2H,<12:00,11:39,38-40,N,
03/31/24,NC State,MBB,Dance the Night,1H,<8:00,6:52,21-14,Y,
03/31/24,NC State,MBB,Blue & White,Halftime,,,27-21,N,
03/31/24,NC State,MBB,Can't,Pregame,,,0-0,N,
03/31/24,NC State,MBB,Can't,Pregame,,,0-0,N,
03/31/24,NC State,MBB,Blue & White,1H,<16:00,13:25,7-8,N,
03/31/24,NC State,MBB,Fight Fight,1H,<16:00,13:25,7-8,N,
03/31/24,NC State,MBB,Uma Thurman,1H,<16:00,13:25,7-8,Y,
03/31/24,NC State,MBB,Zing It!,1H,<8:00,6:52,21-14,N,
03/31/24,NC State,MBB,Scream,Pregame,,,0-0,Y,
04/12/24,,,Fight Fight,,,,,N,Bricks to Stone
04/12/24,,,Blue & White,,,,,N,Bricks to Stone
04/12/24,,,Dance the Night,,,,,N,Bricks to Stone
04/18/24,,,Fight Fight,,,,,N,Blue Devil Days
04/18/24,,,Blue & White,,,,,N,Blue Devil Days
04/18/24,,,Zing It!,,,,,N,Blue Devil Days
04/18/24,,,Uma Thurman,,,,,N,Blue Devil Days
04/19/24,,,Fight Fight,,,,,N,Blue Devil Days
04/19/24,,,Blue & White,,,,,N,Blue Devil Days
04/19/24,,,Dance the Night,,,,,N,Blue Devil Days
04/19/24,,,That's What I Want,,,,,N,Blue Devil Days
04/20/24,Duke,FB,Blue & White,4Q,,0:03,13-24,N,
04/20/24,Duke,FB,Fight Fight,Pregame,,,0-0,Y,
